"citeid","style","casenumber","PdCite","WestCite","issuedate","modified","posteddate","decisiondate","summary","ReleaseDate"
"477467","HILL v. STATE ex rel. BOARD OF REGENTS","113718","2016 OK CIV APP 14","367 P.3d 524","12/18/2015","","12/18/2015 12:00:00 AM","20160307","&para;1 Plaintiff/Appellant Lisa Hill (""Plaintiff"") appeals the trial court's dismissal of her negligence claim against Defendant/Appellee State of Oklahoma  ex rel . Board of Regents of the University of Oklahoma (""Defendant""). The trial court determined Plaintiff's notice of injury to Defendant did not comply with the notice requirements of the Governmental Tort Claims Act (""GTCA""), specifically  51 O.S. &sect;156 (C). Following our  de novo  review of the record and applicable law, we affirm the decision of the trial court.","3/7/2016 12:24:49 PM"
"477466","GRESS v. KUHN","112412","2016 OK CIV APP 13","367 P.3d 518","12/18/2015","","12/18/2015 12:00:00 AM","20160307","&para;1 Appellant Linda Kuhn (Wife) appeals the trial court's decree of marital dissolution which, in pertinent part, finds the couple entered into a stipulated common law marriage in October of 2005, awards Appellee Michael Gress (Husband) the farm the couple purchased when they moved to Oklahoma in 2004, values the same on the date of trial held three years after their separation, deducts from that value a credit for Husband's down payment from his separate funds, and awards Wife her share of the equity in the property subject to a lien. Based on our review of the record and applicable law, we reverse the trial court's down payment credit awarded to Husband, affirm the remaining findings, and remand the case for entry of a new judgment in accordance with this opinion.","3/7/2016 12:24:37 PM"
"477465","T.L.I. v. BOARD OF COUNTY COMMISSIONERS","113687","2016 OK CIV APP 12","___ P.3d ___","08/11/2015","","8/11/2015 12:00:00 AM","20160307","&para;1 The plaintiff, T.L.I. (T.L.I.) a minor, by and through his next friend Travis L. Irick (Plaintiff), appeals an Order denying his motion for new trial entered after the trial court granted summary judgment to the defendant, Board of County Commissioners of the County of Pottawatomie (Board). This appeal proceeds under the provisions of Okla.Sup.Ct.R. 1.36, 12 O.S. Supp. 2013, ch. 15, app. 1.","3/7/2016 12:24:27 PM"
"477464","JAYSON W. DAVISON TRUST v. BROCKHAUS","113175","2016 OK CIV APP 11","366 P.3d 1159","08/26/2015","","8/26/2015 12:00:00 AM","20160307","&para;1 The Jayson W. Davison Trust of 2010, u/t/a 7/8/10, and Jayson W. Davison, Trustee, appeal the trial court's order granting summary judgment in favor of Defendant and Third-Party Plaintiff, Don Wayne Brockhaus, Successor Trustee of the Arthur J. Brockhaus Trust, u/t/a 4/1/1994. The primary issue on appeal is whether Don Brockhaus, as successor trustee, received the required notice of the tax sale of certain real property in Guthrie, Oklahoma. This appeal was assigned to the accelerated docket pursuant to Oklahoma Supreme Court Rule 1.36, 12 O.S. Supp. 2014, ch. 15, app. 1, without appellate briefing. After review, we affirm.","3/7/2016 12:24:18 PM"
"477501","WELLS FARGO BANK v. APACHE TRIBE OF OKLAHOMA","112765","2016 OK CIV APP 16","___ P.3d ___","08/28/2015","","8/28/2015 12:00:00 AM","20160323","&para;1 In this appeal the Apache Tribe of Oklahoma argues that its limited waiver of sovereign immunity in its agreement with Wells Fargo Bank does not allow Bank to seize general tribal assets to satisfy its judgment against Tribe. It argues the trial court erred in confirming the arbitrator's award holding that Bank may seize such assets. We affirm the trial court's decision confirming the arbitrator's award.","3/23/2016 12:08:37 PM"
"477500","NATURAL GAS ANADARKO COMPANY v. VENABLE","112149","2016 OK CIV APP 15","368 P.3d 3","07/10/2015","","7/10/2015 12:00:00 AM","20160323","&para;1 Natural Gas Anadarko Company (Anadarko) appeals the judgment awarding costs and attorney fees to defendants/appellees Jerry L. Venable, et al. The Venable defendants prevailed in this quiet title action filed pursuant to the Nonjudicial Marketable Title Procedures Act,  12 O.S.2011 &sect;&sect; 1141.1  to 1141.5 and are, therefore, entitled to the costs and attorney fees awarded in this action. The judgment of the district court is affirmed.","3/23/2016 12:06:52 PM"
"477510","STATE ex rel. OKLA. BD. OF MEDICAL LICENSURE AND SUPERVISION v. GREGORY","112958","2016 OK CIV APP 18","367 P.3d 922","12/30/2015","","12/30/2015 12:00:00 AM","20160330","&para;1 Jarrett G. Gregory appeals an order of the Oklahoma Board of Medical Licensure and Supervision revoking his medical license. After review, we affirm Board's decision.  1  ","3/30/2016 2:48:07 PM"
"477511","THE PHOENIX GROUP HOLDING CO. v. STATE ex rel. OKLA. CORP. COMM'N.","112920","2016 OK CIV APP 19","___ P.3d ___","03/02/2016","","3/2/2016 12:00:00 AM","20160331","&para;1 The Phoenix Group Holding Company (Phoenix) appeals a Final Order of the Oklahoma Corporation Commission (OCC) denying its motion to set aside or vacate an OCC Order that clarified a previous OCC Order and denied all other requests by Phoenix for relief.","3/31/2016 12:08:03 PM"
"477597","IN THE MATTER OF THE ADOPTION OF K.L.C.","114212","2016 OK CIV APP 26","___ P.3d ___","03/18/2016","","3/18/2016 12:00:00 AM","20160414","&para;1 Petitioner/Appellant Timothy James Metrovich (Stepfather) appeals from an order denying his petition to adopt minor child K.L.C. without the consent of K.L.C.'s natural father, Respondent/Appellee Vincent Lee Coughran (Father). We find Stepfather failed to present clear and convincing evidence that Father willfully failed to contribute to K.L.C.'s support for twelve consecutive months out of the last fourteen months immediately preceding the filing of the petition for adoption.","4/14/2016 12:30:25 PM"
"477596","SOULE  v. CRANE LOGISTICS","113996","2016 OK CIV APP 25","___ P.3d ___","03/11/2016","","3/11/2016 12:00:00 AM","20160414","&para;1 Petitioner Kenneth E. Soule (Claimant) appeals an Order of a three-judge panel of the Workers' Compensation Court of Existing Claims affirming the trial court's ""Miscellaneous Order"" denying Claimant's motion to join additional parties as employers. Based on our review, we sustain.","4/14/2016 12:28:55 PM"
