"citeid","style","casenumber","PdCite","WestCite","issuedate","modified","posteddate","decisiondate","summary","ReleaseDate"
"477458","ORDER VACATING SCAD-2013-11 BAR EXAM ALTERNATIVE SCORING AND GRADING METHODS","SCAD-2016-18","2016 OK 30","___ P.3d ___","03/07/2016","","","20160307","No Description Available, please check the website.",""
"477457","IN RE: AMENDMENT OF RULE 5 OF RULES GOVERNING ADMISSION TO PRACTICE OF LAW","SCBD-6349","2016 OK 29","___ P.3d ___","03/07/2016","","","20160307","No Description Available, please check the website.",""
"477459","IN THE MATTER OF THE REINSTATEMENT OF WILBURN","SCBD-6275","2016 OK 27","___ P.3d ___","03/07/2016","","3/7/2016 12:00:00 AM","20160307","No Description Available, please check the website.","3/30/2016 9:50:38 AM"
"477455","STATE ex rel. OKLAHOMA BAR ASSOCIATION v. DRUMMOND","SCBD-6368","2016 OK 26","___ P.3d ___","03/07/2016","","","20160307","&para;1 The Oklahoma Bar Association (OBA), in compliance with Rules 7.1 and 7.2 of the Rules Governing Disciplinary Proceedings (RGDP), has forwarded to this Court certified copies of the Criminal Information and Plea, in which L. Caroline Drummond entered a plea of guilty to one felony count of Bringing/Possessing Contraband in Jail/Penal Institution, in violation of 57 O.S. 2011 &sect;21(A), occurring on April 28, 2015. The OBA also forwarded a certified copy of the Deferred Sentence.",""
"477460","MOORE v. WARR ACRES NURSING CENTER, LLC.","113098","2016 OK 28","___ P.3d ___","03/08/2016","","","20160308","&para;0 The Warr Acres Nursing Center terminated the employment of the plaintiff, Donald Dewayne Moore, after he called in sick with influenza. The employee filed a complaint in the District Court of Oklahoma County, alleging that he had been fired in violation of public policy. The trial court granted summary judgment to the employer and we retained the appeal. We hold that terminating a licensed practical nurse for missing work in a nursing center while infected with influenza would violate public policy, but disputed facts exist as to the reason for termination which preclude summary judgment.",""
"477463","STATE ex rel. OKLAHOMA BAR ASSOCIATION v. CALLICOAT","SCBD-6359","2016 OK 31","___ P.3d ___","03/09/2016","","","20160309","No Description Available, please check the website.",""
"477478","IN RE: APPROVAL OF PROPOSED STANDARDS OF PRACTICE","SCAD-2016-25","2016 OK 32","___ P.3d ___","03/21/2016","","","20160321","No Description Available, please check the website.",""
"477479","IN RE INITIATIVE PETITION NO. 406, STATE QUESTION 782","114704","2016 OK 34","___ P.3d ___","03/22/2016","","3/22/2016 12:00:00 AM","20160322","&para;1 Protestants challenge the legal sufficiency of Initiative Petition 406 which proposes to amend the Oklahoma Constitution by adding the following section to Article II:","4/15/2016 4:01:33 PM"
"477480","IN THE MATTER OF THE REINSTATEMENT OF BLAKE","SCBD-6237","2016 OK 33","___ P.3d ___","03/22/2016","","3/22/2016 12:00:00 AM","20160322","&para;0  Petitioner, Glen Joseph Blake sought reinstatement to membership in the Oklahoma Bar Association following his voluntary resignation pending disciplinary proceedings approved on June 17, 2008. After a hearing, the trial panel of the Professional Responsibility Tribunal unanimously recommended reinstatement. Upon de novo review we approve Petitioner's reinstatement subject to his payment of costs in the amount of $22.40 within thirty (30) days from the date this opinion becomes final.","4/15/2016 4:01:06 PM"
"477507","REYNOLDS v. FALLIN","114481","2016 OK 38","___ P.3d ___","03/29/2016","","","20160329","&para;0 Appellant sued various state officials for their actions concerning three alleged unconstitutional general appropriation bills. The state moved to dismiss the case which was granted by the district court. Appellant appealed. We affirm the judgment of the district court granting Appellees' motion to dismiss.",""
"477506","STATE ex rel. OKLAHOMA BAR ASSOCIATION v. OLIVER","SCBD-6268","2016 OK 37","___ P.3d ___","03/29/2016","","3/29/2016 12:00:00 AM","20160329","&para;0 The complainant, Oklahoma Bar Association, commenced disciplinary proceedings against the respondent, James Edward Oliver, pursuant to Rule 7 of the Rules Governing Disciplinary Proceedings. The United States Bankruptcy Court for the Western District of Oklahoma suspended Mr. Oliver for his continued failure to properly and accurately fill out electronic bankruptcy forms pursuant to the rules and procedures of that court. Mr. Oliver did not report his suspension to this Court and did not timely notify his clients of his suspension.","4/27/2016 10:59:21 AM"
"477505","SCOCOS v. SCOCOS","112723","2016 OK 36","___ P.3d ___","03/29/2016","","3/29/2016 12:00:00 AM","20160329","&para;0 Appellant/Mother, Kayla J. Scocos, brought post-decree motion in trial court to relocate with the parties' child from Oklahoma to Louisiana. Appellee/Father, Andrew M. Scocos, filed objection and sought immediate physical custody of the child. Trial court determined the move was not made in good faith and shifted primary physical custody to Father. Mother appealed the ruling and we retained the matter.","4/27/2016 9:41:59 AM"
